Campaign,Campaign Daily Budget,Campaign Type,Networks,Campaign Status,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Ad Type,Ad Status

# CAMPAIGN 1: High-Value Low Competition
UpTune Wedding - High Value,50,Search,Google search,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# Ad Group: Playlist Maker
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,,wedding playlist maker,Keyword,Exact match,https://weddings.uptune.xyz/lp/playlist-maker,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,,wedding playlist maker,Keyword,Phrase match,https://weddings.uptune.xyz/lp/playlist-maker,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,,wedding music playlist maker,Keyword,Phrase match,https://weddings.uptune.xyz/lp/playlist-maker,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,,create wedding playlist,Keyword,Phrase match,https://weddings.uptune.xyz/lp/playlist-maker,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Playlist Maker,Enabled,,,,,,Wedding Playlist Maker,Create Perfect Wedding Music,Free Wedding Playlist Tool,Build Your Wedding Playlist,Custom Wedding Music App,Wedding Music Made Easy,Professional Wedding Playlists,15000+ Happy Couples,Spotify Wedding Playlists,DJ-Approved Playlists,Wedding Reception Music,Ceremony Music Builder,First Dance Songs,Wedding Music Timeline,Free to Start,Create the perfect wedding playlist in minutes. Join 15000+ couples using our free tool.,Professional DJ-curated songs for every wedding moment. Start free today.,Build custom playlists for ceremony cocktails and reception. Easy & free.,Get personalized music recommendations based on your style. Try it now.,wedding,playlist-maker,Responsive search ad,Enabled

# Ad Group: Music Timeline
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,,wedding music timeline,Keyword,Exact match,https://weddings.uptune.xyz/lp/wedding-timeline,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,,wedding music timeline,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-timeline,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,,wedding reception timeline,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-timeline,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,,wedding music schedule,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-timeline,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Music Timeline,Enabled,,,,,,Wedding Music Timeline,Perfect Wedding Music Flow,Plan Your Music Timeline,Wedding Reception Schedule,Music Timeline Builder,DJ Timeline Template,Ceremony to Last Dance,Wedding Music Planner,Professional Music Flow,Hour-by-Hour Guide,Reception Music Guide,Wedding Schedule Maker,Music Timing Tool,Free Timeline Builder,Start Planning Now,Plan the perfect music flow from ceremony to last dance. Free timeline builder.,Professional wedding music schedule template. Used by 15000+ couples.,Create your custom music timeline for every wedding moment. Start free.,Get the timing right with our DJ-approved wedding music scheduler.,wedding,timeline,Responsive search ad,Enabled

# Ad Group: Wedding Music App
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,,wedding music app,Keyword,Exact match,https://weddings.uptune.xyz/lp/wedding-music-app,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,,wedding music app,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-music-app,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,,wedding playlist app,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-music-app,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,,wedding song app,Keyword,Phrase match,https://weddings.uptune.xyz/lp/wedding-music-app,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,Wedding Music App,Enabled,,,,,,Wedding Music App,#1 Wedding Playlist App,Free Wedding Music App,Build Wedding Playlists,Spotify Wedding App,Wedding DJ App,Music Planning App,15000+ Happy Couples,Guest Song Requests,Collaborative Playlists,Professional Music Tool,Wedding Song Library,Easy Music Planning,Download Free App,Start Your Playlist,The #1 wedding music app trusted by 15000+ couples. Start free today.,Build perfect playlists for every wedding moment. Free to download.,Collaborate with guests and create custom playlists. Try it now.,Professional wedding music planning made simple. Join thousands of couples.,wedding,music-app,Responsive search ad,Enabled

# Ad Group: First Dance Songs
UpTune Wedding - High Value,,,,Enabled,First Dance Songs,Enabled,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,First Dance Songs,Enabled,,first dance songs 2025,Keyword,Exact match,https://weddings.uptune.xyz/lp/first-dance-songs,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,First Dance Songs,Enabled,,first dance songs 2025,Keyword,Phrase match,https://weddings.uptune.xyz/lp/first-dance-songs,,,,,,,,,,,,,,,,,,,,,,,,,
UpTune Wedding - High Value,,,,Enabled,First Dance Songs,Enabled,,best first dance songs,Keyword,Phrase match,https://weddings.uptune.xyz/lp/first-dance-songs,,,,,,,,,,,,,,,,,,,,,,,,,
